### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  125       1.799     0.06746    0.007159      0.07462
  126       1.841     0.07606    0.007711      0.08377
  127       1.884      0.1169    0.008304       0.1252
  128       1.928      0.1578    0.008943       0.1667
  129       1.972      0.1986     0.00963       0.2082
  130       2.018      0.2395     0.01037       0.2498
  131       2.065      0.2803     0.01116       0.2915
  132       2.113      0.3212     0.01202       0.3332
  133       2.163       0.362     0.01294        0.375
  134       2.213      0.4029     0.01393       0.4168
  135       2.265      0.4437     0.01499       0.4587
  136       2.317      0.4846     0.01614       0.5007
  137       2.371      0.5375     0.01737       0.5548
  138       2.427      0.6528     0.01869       0.6715
  139       2.483      0.7681     0.02011       0.7882
  140       2.541      0.8834     0.02163        0.905
  141         2.6      0.9987     0.02327        1.022
  142       2.661       1.114     0.02503        1.139
  143       2.723       1.229     0.02691        1.256
  144       2.786       1.345     0.02894        1.374
  145       2.851        1.46     0.03111        1.491
  146       2.917       1.575     0.03343        1.609
  147       2.985       1.691     0.03593        1.727
  148       3.055       1.775      0.0386        1.813
  149       3.126       1.757     0.04146        1.798
  150       3.199       1.738     0.04453        1.783
  151       3.273        1.72      0.0478        1.768
  152        3.35       1.702     0.05131        1.754
  153       3.428       1.684     0.05505        1.739
  154       3.508       1.666     0.05905        1.725
  155       3.589       1.648     0.06332        1.711
  156       3.673        1.63     0.06788        1.698
  157       3.758       1.612     0.07273        1.685
  158       3.846       1.594      0.0779        1.672
  159       3.936       1.565      0.0834        1.649
  160       4.027       1.513     0.08925        1.602
  161       4.121       1.461     0.09546        1.557
  162       4.217       1.409      0.1021        1.511
  163       4.315       1.357       0.109        1.466
  164       4.416       1.305      0.1164        1.422
  165       4.519       1.253      0.1243        1.377
  166       4.624       1.201      0.1325        1.334
  167       4.732       1.149      0.1412         1.29
  168       4.842       1.097      0.1504        1.248
  169       4.955       1.045        0.16        1.205
  170        5.07       1.001      0.1702        1.171
  171       5.188      0.9681      0.1808        1.149
  172       5.309      0.9354      0.1919        1.127
  173       5.433      0.9027      0.2035        1.106
  174       5.559      0.8699      0.2156        1.086
  175       5.689      0.8372      0.2282        1.065
  176       5.821      0.8045      0.2413        1.046
  177       5.957      0.7717      0.2548        1.027
  178       6.095       0.739      0.2688        1.008
  179       6.237      0.7062      0.2833       0.9895
