### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  605   1.135e+05      0.3216      0.5793       0.9009
  606   1.161e+05      0.3216      0.5794        0.901
  607   1.189e+05      0.3216      0.5795        0.901
  608   1.216e+05      0.3215      0.5796       0.9011
  609   1.245e+05      0.3215      0.5797       0.9012
  610   1.274e+05      0.3215      0.5798       0.9012
  611   1.303e+05      0.3214      0.5799       0.9013
  612   1.334e+05      0.3214        0.58       0.9014
  613   1.365e+05      0.3214      0.5801       0.9015
  614   1.396e+05      0.3214      0.5802       0.9016
  615   1.429e+05      0.3214      0.5804       0.9018
  616   1.462e+05      0.3214      0.5805       0.9019
  617   1.496e+05      0.3214      0.5806        0.902
  618   1.531e+05      0.3214      0.5808       0.9022
  619   1.567e+05      0.3214      0.5809       0.9023
  620   1.603e+05      0.3215       0.581       0.9025
  621   1.641e+05      0.3215      0.5812       0.9027
  622   1.679e+05      0.3215      0.5813       0.9028
  623   1.718e+05      0.3216      0.5815        0.903
  624   1.758e+05      0.3216      0.5816       0.9032
  625   1.799e+05      0.3216      0.5818       0.9034
  626   1.841e+05      0.3217       0.582       0.9036
  627   1.884e+05      0.3217      0.5821       0.9039
  628   1.928e+05      0.3218      0.5823       0.9041
  629   1.972e+05      0.3219      0.5825       0.9044
  630   2.018e+05      0.3219      0.5827       0.9046
  631   2.065e+05       0.322      0.5829       0.9048
  632   2.113e+05      0.3221       0.583       0.9051
  633   2.163e+05      0.3222      0.5832       0.9054
  634   2.213e+05      0.3222      0.5834       0.9057
  635   2.265e+05      0.3223      0.5836        0.906
  636   2.317e+05      0.3224      0.5838       0.9063
  637   2.371e+05      0.3225       0.584       0.9065
  638   2.427e+05      0.3226      0.5842       0.9069
  639   2.483e+05      0.3227      0.5844       0.9072
  640   2.541e+05      0.3229      0.5847       0.9075
  641     2.6e+05       0.323      0.5849       0.9079
  642   2.661e+05      0.3231      0.5851       0.9082
  643   2.723e+05      0.3232      0.5853       0.9085
  644   2.786e+05      0.3234      0.5855       0.9089
  645   2.851e+05      0.3235      0.5858       0.9093
  646   2.917e+05      0.3237       0.586       0.9097
  647   2.985e+05      0.3238      0.5863       0.9101
  648   3.055e+05      0.3239      0.5865       0.9104
  649   3.126e+05      0.3241      0.5867       0.9108
  650   3.199e+05      0.3243       0.587       0.9113
  651   3.273e+05      0.3245      0.5872       0.9117
  652    3.35e+05      0.3246      0.5875       0.9121
  653   3.428e+05      0.3248      0.5877       0.9125
  654   3.508e+05       0.325       0.588        0.913
  655   3.589e+05      0.3252      0.5883       0.9134
  656   3.673e+05      0.3254      0.5885       0.9139
  657   3.758e+05      0.3256      0.5891       0.9147
  658   3.846e+05      0.3258      0.5894       0.9151
  659   3.936e+05       0.326      0.5896       0.9156
  660   4.027e+05      0.3262      0.5899       0.9161
  661   4.121e+05      0.3264      0.5902       0.9166
  662   4.217e+05      0.3266      0.5905       0.9171
  663   4.315e+05      0.3268      0.5907       0.9176
  664   4.416e+05      0.3271       0.591       0.9181
  665   4.519e+05      0.3273      0.5913       0.9186
  666   4.624e+05      0.3275      0.5916       0.9191
  667   4.732e+05      0.3278      0.5919       0.9197
  668   4.842e+05       0.328      0.5922       0.9202
  669   4.955e+05      0.3283      0.5925       0.9208
  670    5.07e+05      0.3285      0.5928       0.9213
  671   5.188e+05      0.3288      0.5931       0.9219
  672   5.309e+05      0.3291      0.5934       0.9225
  673   5.433e+05      0.3294      0.5937        0.923
  674   5.559e+05      0.3296       0.594       0.9236
  675   5.689e+05      0.3299      0.5943       0.9242
  676   5.821e+05      0.3302      0.5946       0.9248
  677   5.957e+05      0.3305      0.5949       0.9254
  678   6.095e+05      0.3308      0.5952        0.926
  679   6.237e+05      0.3311      0.5955       0.9266
  680   6.383e+05      0.3314      0.5959       0.9273
  681   6.531e+05      0.3317      0.5962       0.9279
  682   6.683e+05       0.332      0.5965       0.9285
  683   6.839e+05      0.3324      0.5968       0.9292
  684   6.998e+05      0.3327      0.5971       0.9298
  685   7.161e+05       0.333      0.5975       0.9305
  686   7.328e+05      0.3334      0.5978       0.9312
  687   7.499e+05      0.3337      0.5981       0.9318
  688   7.674e+05       0.334      0.5985       0.9325
  689   7.852e+05      0.3344      0.5988       0.9332
  690   8.035e+05      0.3348      0.5991       0.9339
  691   8.222e+05      0.3351      0.5995       0.9346
  692   8.414e+05      0.3355      0.5998       0.9353
  693    8.61e+05      0.3358      0.6002        0.936
  694    8.81e+05      0.3362      0.6005       0.9367
  695   9.016e+05      0.3366      0.6009       0.9375
  696   9.226e+05       0.337      0.6012       0.9382
  697   9.441e+05      0.3374      0.6016       0.9389
  698   9.661e+05      0.3378      0.6019       0.9397
  699   9.886e+05      0.3382      0.6023       0.9405
  700   1.012e+06      0.3386      0.6026       0.9412
  701   1.035e+06       0.339       0.603        0.942
  702   1.059e+06      0.3394      0.6034       0.9428
  703   1.084e+06      0.3398      0.6037       0.9435
  704   1.109e+06      0.3402      0.6041       0.9443
  705   1.135e+06      0.3407      0.6045       0.9451
  706   1.161e+06      0.3411      0.6048       0.9459
  707   1.189e+06      0.3416      0.6052       0.9467
  708   1.216e+06       0.342      0.6056       0.9476
  709   1.245e+06      0.3424      0.6059       0.9484
  710   1.274e+06      0.3429      0.6063       0.9492
  711   1.303e+06      0.3434      0.6067       0.9501
  712   1.334e+06      0.3438      0.6071       0.9509
  713   1.365e+06      0.3443      0.6075       0.9517
  714   1.396e+06      0.3447      0.6078       0.9526
  715   1.429e+06      0.3452      0.6082       0.9535
  716   1.462e+06      0.3457      0.6086       0.9543
  717   1.496e+06      0.3462       0.609       0.9552
  718   1.531e+06      0.3467      0.6094       0.9561
  719   1.567e+06      0.3472      0.6098        0.957
  720   1.603e+06      0.3477      0.6102       0.9579
  721   1.641e+06      0.3482      0.6106       0.9588
  722   1.679e+06      0.3487       0.611       0.9597
  723   1.718e+06      0.3492      0.6114       0.9606
  724   1.758e+06      0.3498      0.6118       0.9615
  725   1.799e+06      0.3503      0.6122       0.9624
  726   1.841e+06      0.3508      0.6126       0.9634
  727   1.884e+06      0.3514       0.613       0.9643
  728   1.928e+06      0.3519      0.6134       0.9653
  729   1.972e+06      0.3524      0.6138       0.9662
  730   2.018e+06       0.353      0.6142       0.9672
  731   2.065e+06      0.3535      0.6146       0.9682
  732   2.113e+06      0.3541       0.615       0.9691
  733   2.163e+06      0.3547      0.6154       0.9701
  734   2.213e+06      0.3552      0.6159       0.9711
  735   2.265e+06      0.3558      0.6163       0.9721
  736   2.317e+06      0.3564      0.6167       0.9731
  737   2.371e+06       0.357      0.6171       0.9741
  738   2.427e+06      0.3576      0.6175       0.9751
  739   2.483e+06      0.3582       0.618       0.9761
  740   2.541e+06      0.3588      0.6184       0.9772
  741     2.6e+06      0.3594      0.6188       0.9782
  742   2.661e+06        0.36      0.6193       0.9792
  743   2.723e+06      0.3606      0.6197       0.9803
  744   2.786e+06      0.3612      0.6201       0.9813
  745   2.851e+06      0.3618      0.6206       0.9824
  746   2.917e+06      0.3625       0.621       0.9834
  747   2.985e+06      0.3631      0.6214       0.9845
  748   3.055e+06      0.3637      0.6219       0.9856
  749   3.126e+06      0.3644      0.6223       0.9867
  750   3.199e+06       0.365      0.6227       0.9878
  751   3.273e+06      0.3657      0.6232       0.9889
  752    3.35e+06      0.3663      0.6236         0.99
  753   3.428e+06       0.367      0.6241       0.9911
  754   3.508e+06      0.3677      0.6245       0.9922
  755   3.589e+06      0.3683       0.625       0.9933
  756   3.673e+06       0.369      0.6254       0.9944
  757   3.758e+06      0.3697      0.6259       0.9956
  758   3.846e+06      0.3704      0.6263       0.9967
  759   3.936e+06      0.3711      0.6268       0.9978
  760   4.027e+06      0.3718      0.6272        0.999
  761   4.121e+06      0.3725      0.6277            1
  762   4.217e+06      0.3732      0.6282        1.001
  763   4.315e+06      0.3739      0.6286        1.002
  764   4.416e+06      0.3746      0.6291        1.004
  765   4.519e+06      0.3753      0.6295        1.005
  766   4.624e+06       0.376        0.63        1.006
  767   4.732e+06      0.3768      0.6305        1.007
  768   4.842e+06      0.3775      0.6309        1.008
  769   4.955e+06      0.3783      0.6314         1.01
  770    5.07e+06       0.379      0.6319        1.011
  771   5.188e+06      0.3798      0.6323        1.012
  772   5.309e+06      0.3805      0.6328        1.013
  773   5.433e+06      0.3813      0.6333        1.015
  774   5.559e+06       0.382      0.6338        1.016
  775   5.689e+06      0.3828      0.6342        1.017
  776   5.821e+06      0.3836      0.6347        1.018
  777   5.957e+06      0.3844      0.6352         1.02
  778   6.095e+06      0.3851      0.6357        1.021
  779   6.237e+06      0.3859      0.6361        1.022
  780   6.383e+06      0.3867      0.6366        1.023
  781   6.531e+06      0.3875      0.6371        1.025
  782   6.683e+06      0.3883      0.6376        1.026
  783   6.839e+06      0.3891      0.6381        1.027
  784   6.998e+06        0.39      0.6386        1.029
  785   7.161e+06      0.3908       0.639         1.03
  786   7.328e+06      0.3916      0.6395        1.031
  787   7.499e+06      0.3924        0.64        1.032
  788   7.674e+06      0.3933      0.6405        1.034
  789   7.852e+06      0.3941       0.641        1.035
  790   8.035e+06      0.3949      0.6415        1.036
  791   8.222e+06      0.3958       0.642        1.038
  792   8.414e+06      0.3966      0.6425        1.039
  793    8.61e+06      0.3975       0.643         1.04
  794    8.81e+06      0.3984      0.6435        1.042
  795   9.016e+06      0.3992       0.644        1.043
  796   9.226e+06      0.4001      0.6445        1.045
  797   9.441e+06       0.401       0.645        1.046
  798   9.661e+06      0.4019      0.6455        1.047
  799   9.886e+06      0.4027       0.646        1.049
-------------------------------------------------------------
